portfolio_id,monitor_run_id,source_research_run_id,as_of_date,ticker,asset_type,sleeve,currency,current_weight,target_weight,research_target_weight,implementation_gap,current_weight_pct,target_weight_pct,research_target_weight_pct,implementation_gap_pct,current_notional_usd,target_notional_usd,weight_drift,weight_drift_pct,soft_min_weight,soft_max_weight,hard_min_weight,hard_max_weight,soft_min_weight_pct,soft_max_weight_pct,hard_min_weight_pct,hard_max_weight_pct,band_status,latest_price,price_as_of_date,daily_return,daily_return_contribution,trade_readiness,pms_tracking_ready,governance_monitor_status,risk_budget_readiness,liquidity_capacity_status,capacity_data_quality,broker_grade_ready,risk_any_breach,portfolio_alert_count,portfolio_critical_alert_count,portfolio_compliance_status
sbecipher_pm_lp,monitor-integration-pms-upload-20260624T000000Z,pm-lp-scm-20260624T212419Z,2026-06-24,MT,Equity,target_equity,USD,0.04900297899454232,0.048510555304357,0.0606381941304462,-0.0121276388260892,4.900297899454232,4.8510555304357,6.06381941304462,-1.21276388260892,49002.97899454232,48510.555304357,0.0004924236901853174,0.04924236901853174,0.043510555304357004,0.053510555304357,0.038510555304357,0.058510555304357004,4.3510555304357,5.3510555304356995,3.8510555304357,5.8510555304357,ok,63.3,2026-06-24,-0.007058823529411784,-0.00034242744920722683,monitor_only,True,clear,ok,ok,lseg_ohlcv_depth_proxy,False,False,1,1,critical_review
sbecipher_pm_lp,monitor-integration-pms-upload-20260624T000000Z,pm-lp-scm-20260624T212419Z,2026-06-24,STLD,Equity,target_equity,USD,0.047286538868120155,0.0478714099101563,0.0598392623876954,-0.0119678524775391,4.728653886812015,4.78714099101563,5.98392623876954,-1.19678524775391,47286.53886812016,47871.409910156304,-0.0005848710420361461,-0.05848710420361461,0.042871409910156304,0.0528714099101563,0.0378714099101563,0.0578714099101563,4.28714099101563,5.2871409910156295,3.78714099101563,5.78714099101563,ok,243.69,2026-06-24,-0.02904613913459242,-0.0013904796328195062,monitor_only,True,clear,ok,ok,lseg_ohlcv_depth_proxy,False,False,1,1,critical_review
sbecipher_pm_lp,monitor-integration-pms-upload-20260624T000000Z,pm-lp-scm-20260624T212419Z,2026-06-24,MP,Equity,target_equity,USD,0.0049693877524577615,0.0050000017786867,0.0062500022233583,-0.0012500004446716001,0.4969387752457761,0.50000017786867,0.62500022233583,-0.12500004446716,4969.387752457761,5000.0017786867,-3.061402622893828e-05,-0.003061402622893828,1.778686699663301e-09,0.0100000017786867,0.0,0.0150000017786867,1.778686699663301e-07,1.00000017786867,0.0,1.50000017786867,ok,58.9,2026-06-24,-0.023055233040305212,-0.00011527620620956243,monitor_only,True,approved_exception,ok,ok,lseg_ohlcv_depth_proxy,False,False,1,1,critical_review
sbecipher_pm_lp,monitor-integration-pms-upload-20260624T000000Z,pm-lp-scm-20260624T212419Z,2026-06-24,LEU,Equity,target_equity,USD,0.0049155184676686935,0.0050000014453733,0.0062500018067166,-0.0012500003613432993,0.49155184676686936,0.50000014453733,0.62500018067166,-0.12500003613432992,4915.518467668693,5000.0014453733,-8.448297770460682e-05,-0.008448297770460682,1.4453733002128821e-09,0.0100000014453733,0.0,0.0150000014453733,1.445373300212882e-07,1.00000014453733,0.0,1.5000001445373299,ok,177.5,2026-06-24,-0.033645470383275256,-0.00016822740054664085,monitor_only,True,clear,ok,ok,lseg_ohlcv_depth_proxy,False,False,1,1,critical_review
sbecipher_pm_lp,monitor-integration-pms-upload-20260624T000000Z,pm-lp-scm-20260624T212419Z,2026-06-24,CMP,Equity,target_equity,USD,0.021000926547004018,0.0211937207595179,0.0264921509493974,-0.005298430189879501,2.100092654700402,2.11937207595179,2.64921509493974,-0.52984301898795,21000.92654700402,21193.7207595179,-0.0001927942125138811,-0.01927942125138811,0.016193720759517898,0.0261937207595179,0.011193720759517899,0.0311937207595179,1.6193720759517898,2.61937207595179,1.11937207595179,3.11937207595179,ok,28.12,2026-06-24,-0.025978524419812965,-0.0005505815922978327,monitor_only,True,clear,ok,ok,lseg_ohlcv_depth_proxy,False,False,1,1,critical_review
sbecipher_pm_lp,monitor-integration-pms-upload-20260624T000000Z,pm-lp-scm-20260624T212419Z,2026-06-24,TMC,Equity,target_equity,USD,0.004953072764815543,0.005000001715445,0.0062500021443063,-0.0012500004288613,0.49530727648155426,0.5000001715444999,0.6250002144306299,-0.12500004288613,4953.0727648155425,5000.001715445,-4.6928950629457e-05,-0.0046928950629457,1.7154449995920862e-09,0.010000001715445,0.0,0.015000001715445,1.7154449995920862e-07,1.0000001715445,0.0,1.5000001715445002,ok,4.82,2026-06-24,-0.02626262626262621,-0.00013131317636522194,monitor_only,True,approved_exception,ok,ok,lseg_ohlcv_depth_proxy,False,False,1,1,critical_review
sbecipher_pm_lp,monitor-integration-pms-upload-20260624T000000Z,pm-lp-scm-20260624T212419Z,2026-06-24,HBM,Equity,target_equity,USD,0.004621919079379617,0.0050000023599257,0.0062500029499071,-0.0012500005899814,0.4621919079379617,0.50000023599257,0.62500029499071,-0.12500005899813998,4621.919079379617,5000.0023599257,-0.0003780832805460833,-0.037808328054608334,2.359925700169685e-09,0.010000002359925701,0.0,0.0150000023599257,2.359925700169685e-07,1.0000002359925702,0.0,1.5000002359925702,ok,25.36,2026-06-24,-0.09136510211393767,-0.00045682572618454094,monitor_only,True,clear,ok,ok,lseg_ohlcv_depth_proxy,False,False,1,1,critical_review
sbecipher_pm_lp,monitor-integration-pms-upload-20260624T000000Z,pm-lp-scm-20260624T212419Z,2026-06-24,UAMY,Equity,target_equity,USD,0.004571474058758233,0.0050000014335548,0.0062500017919435,-0.0012500003583887,0.45714740587582336,0.50000014335548,0.62500017919435,-0.12500003583887,4571.474058758234,5000.0014335548,-0.0004285273747965668,-0.04285273747965668,1.4335548000413145e-09,0.010000001433554801,0.0,0.0150000014335548,1.4335548000413145e-07,1.0000001433554802,0.0,1.50000014335548,ok,7.01,2026-06-24,-0.10128205128205126,-0.0005064104016036271,monitor_only,True,approved_exception,ok,ok,lseg_ohlcv_depth_proxy,False,False,1,1,critical_review
sbecipher_pm_lp,monitor-integration-pms-upload-20260624T000000Z,pm-lp-scm-20260624T212419Z,2026-06-24,IDR,Equity,target_equity,USD,0.019113367512004795,0.0200068994386031,0.0250086242982539,-0.005001724859650801,1.9113367512004795,2.00068994386031,2.50086242982539,-0.5001724859650801,19113.367512004796,20006.8994386031,-0.0008935319265983045,-0.08935319265983045,0.015006899438603099,0.0250068994386031,0.0100068994386031,0.030006899438603102,1.5006899438603098,2.5006899438603103,1.00068994386031,3.0006899438603103,ok,32.67,2026-06-24,-0.06093705087668866,-0.0012191614489749508,monitor_only,True,clear,ok,ok,lseg_ohlcv_depth_proxy,False,False,1,1,critical_review
sbecipher_pm_lp,monitor-integration-pms-upload-20260624T000000Z,pm-lp-scm-20260624T212419Z,2026-06-24,LTBR,Equity,target_equity,USD,0.004759478744662276,0.005000000823591,0.0062500010294888,-0.0012500002058978,0.47594787446622766,0.5000000823591,0.62500010294888,-0.12500002058978,4759.478744662277,5000.000823591,-0.00024052207892872376,-0.024052207892872376,8.235910000861657e-10,0.010000000823591,0.0,0.015000000823591,8.235910000861657e-08,1.0000000823591,0.0,1.5000000823591,ok,9.31,2026-06-24,-0.06432160804020093,-0.00032160809317570215,monitor_only,True,approved_exception,ok,ok,lseg_ohlcv_depth_proxy,False,False,1,1,critical_review
